STT,SHS,SBD,Họ và tên,GT,Ngày sinh,NV1,NV2,Tiếng Anh,Toán 1,Ngữ văn,Hóa học,Tin học,Vật lý,Sinh học,Toán 2,Kết luận,SĐT,Trạng thái,Mã định danh
90,1941,1259,Nguyễn Văn 108,,01/06/2010,Chuyên hóa học,,9,5,6.25,3.75,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
91,2112,1926,Nguyễn Văn 109,Nữ,07/07/2010,Chuyên hóa học,,9,6.5,8.5,4.5,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
92,2169,2113,Nguyễn Văn 110,,20/06/2010,Chuyên hóa học,,8.5,6.5,8.75,4.75,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
94,2464,1672,Nguyễn Văn 111,,17/09/2010,Chuyên hóa học,,9.75,7,8.75,4.5,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
95,2471,2001,Nguyễn Văn 112,Nữ,01/12/2010,Chuyên hóa học,,9,3,7.5,3.75,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
96,2482,2586,Nguyễn Văn 113,,08/12/2010,Chuyên hóa học,,9.5,6.5,8,4.75,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
97,2497,1639,Nguyễn Văn 114,,03/03/2010,Chuyên hóa học,,9.75,3,8.5,4,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
98,2531,2066,Nguyễn Văn 115,,11/09/2010,Chuyên hóa học,,9.5,7.5,7,3,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
99,2596,1819,Nguyễn Văn 116,Nữ,23/09/2010,Chuyên hóa học,,9.25,4,8,5,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
100,2801,1297,Nguyễn Văn 117,,15/05/2010,Chuyên hóa học,,10,5,7.25,5.5,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
101,2890,1530,Nguyễn Văn 118,Nữ,20/07/2010,Chuyên hóa học,,10,7,7.5,4.25,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
102,3064,301,Nguyễn Văn 119,,28/07/2010,Chuyên hóa học,,9,7.5,8,4.25,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
103,3074,2473,Nguyễn Văn 120,Nữ,13/11/2010,Chuyên hóa học,,9.75,5.5,7.75,3.5,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
104,3101,1857,Nguyễn Văn 121,,28/09/2010,Chuyên hóa học,,9.5,6,8.5,4.5,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
105,3113,969,Nguyễn Văn 122,,19/11/2010,Chuyên hóa học,,10,6,8,4.75,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
106,3133,804,Nguyễn Văn 123,,13/04/2010,Chuyên hóa học,Chuyên tin học (thi Toán),8.25,6.25,8.75,4.25,,,,0,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
107,3256,808,Nguyễn Văn 124,,04/02/2010,Chuyên hóa học,,9.5,6,8.5,4.75,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
108,3273,1167,Nguyễn Văn 125,,03/02/2010,Chuyên hóa học,,9,6,8,2.5,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
110,3395,2158,Nguyễn Văn 126,Nữ,07/07/2010,Chuyên hóa học,,9.75,6,8.75,5.25,,,,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
111,115,723,Nguyễn Văn 127,Nữ,23/05/2010,Chuyên sinh học,,10,5.5,8.5,,,,5.5,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
112,170,411,Nguyễn Văn 128,Nữ,22/08/2010,Chuyên sinh học,,10,6,9,,,,5,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
113,209,2260,Nguyễn Văn 129,Nữ,03/07/2010,Chuyên sinh học,,9,6,7.5,,,,4.75,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
114,215,2077,Nguyễn Văn 130,,24/12/2010,Chuyên sinh học,,8,5,5.25,,,,3.5,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
115,323,110,Nguyễn Văn 131,Nữ,29/09/2010,Chuyên sinh học,,8.25,1.5,6,,,,4.25,,,984640899,KHÔNG THAY ĐỔI ĐIỂM SAU PHÚC KHẢO,123456789
