STT,SHS,SBD,Họ và tên,GT,Ngày sinh,NV1,NV2,Tiếng Anh,Toán 1,Ngữ văn,Hóa học,Tin học,Vật lý,Sinh học,Toán 2,Kết luận,SĐT,Tin nhắn
18,78,1952,Nguyễn Văn 18,,09/03/2010,Chuyên toán học,,7.75,7.5,7.5,,,,,6.5,Chuyên Toán học,984640899,
19,79,1238,Nguyễn Văn 19,,07/01/2010,Chuyên hóa học,,9.75,8,5.5,7,,,,,Chuyên Hoá học,984640899,
20,80,1443,Nguyễn Văn 20,,16/12/2010,Chuyên vật lý,,9.75,5,8,,,5.75,,,,984640899,
21,81,188,Nguyễn Văn 21,,09/10/2010,Chuyên hóa học,,8.5,2,7.75,1.25,,,,,,984640899,
22,83,2402,Nguyễn Văn 22,,03/01/2010,Chuyên sinh học,,10,6,8,,,,7,,Chuyên Sinh học,984640899,
23,88,1762,Nguyễn Văn 23,,07/01/2010,Chuyên sinh học,,6.5,6,7.25,,,,6.25,,Chuyên Sinh học,984640899,
24,89,2650,Nguyễn Văn 24,,08/03/2010,Chuyên tin học (thi Tin),Chuyên vật lý,9.25,0,8,,1.25,0.25,,,,984640899,
25,90,604,Nguyễn Văn 25,Nữ,14/04/2010,Chuyên tin học (thi Toán),,9.75,6,9.25,,,,,5.5,,984640899,
26,92,390,Nguyễn Văn 26,Nữ,24/11/2010,Chuyên toán học,,8.75,2.5,7.5,,,,,0.5,,984640899,
27,93,1450,Nguyễn Văn 27,,12/04/2010,Chuyên hóa học,,9.25,7,8.5,4,,,,,,984640899,
28,94,391,Nguyễn Văn 28,Nữ,08/01/2010,Chuyên tin học (thi Toán),,9.75,7.5,8,,,,,4.5,,984640899,
29,95,1358,Nguyễn Văn 29,,19/01/2010,Chuyên tin học (thi Toán),,9.5,6,9,,,,,9,Chuyên Tin học (thi Toán),984640899,
30,98,1404,Nguyễn Văn 30,,21/11/2010,Chuyên tin học (thi Toán),,9,7.5,7.5,,,,,5.5,,984640899,
31,99,259,Nguyễn Văn 31,,14/11/2010,Chuyên tin học (thi Tin),,9,6,7.25,,6.75,,,,Chuyên Tin học (thi Tin),984640899,
32,100,484,Nguyễn Văn 32,,06/05/2010,Chuyên toán học,,8.25,7.5,7.5,,,,,6,Chuyên Toán học,984640899,
33,103,1649,Nguyễn Văn 33,,23/09/2010,Chuyên tin học (thi Toán),,9.5,6,8.5,,,,,4,,984640899,
34,104,2432,Nguyễn Văn 34,,08/04/2010,Chuyên hóa học,,9.25,7,8,9.25,,,,,Chuyên Hoá học,984640899,
35,105,516,Nguyễn Văn 35,,31/07/2010,Chuyên vật lý,Chuyên tin học (thi Toán),10,7.5,8,,,6.5,,3,Chuyên Vật lý,984640899,
36,106,1141,Nguyễn Văn 36,,23/03/2010,Chuyên vật lý,,9.5,5.5,8,,,4.5,,,,984640899,
37,107,2665,Nguyễn Văn 37,,26/04/2010,Chuyên tin học (thi Toán),,9.5,7.5,8,,,,,4.5,,984640899,
38,108,2563,Nguyễn Văn 38,,17/08/2010,Chuyên hóa học,,9.25,6,8.5,4.25,,,,,,984640899,
39,109,883,Nguyễn Văn 39,,19/01/2010,Chuyên toán học,,10,7.5,7,,,,,7.5,Chuyên Toán học,984640899,
40,110,1708,Nguyễn Văn 40,,04/11/2010,Chuyên tin học (thi Toán),,10,7,9,,,,,3,,984640899,
41,111,2095,Nguyễn Văn 41,,09/09/2010,Chuyên tin học (thi Toán),,10,7.5,7,,,,,8.25,Chuyên Tin học (thi Toán),984640899,
42,112,2004,Nguyễn Văn 42,,27/07/2010,Chuyên toán học,,9.5,7.5,8.75,,,,,6,Chuyên Toán học,984640899,
43,113,1761,Nguyễn Văn 43,,21/07/2010,Chuyên sinh học,,9,0,6.75,,,,3.5,,,984640899,
44,115,723,Nguyễn Văn 44,Nữ,23/05/2010,Chuyên sinh học,,10,5.5,8.5,,,,5.5,,,984640899,
45,118,829,Nguyễn Văn 45,,18/06/2010,Chuyên tin học (thi Toán),,7.75,7.5,7.5,,,,,7,Chuyên Tin học (thi Toán),984640899,
46,119,1098,Nguyễn Văn 46,Nữ,16/01/2010,Chuyên sinh học,,9.25,7,8.5,,,,7.25,,Chuyên Sinh học,984640899,
47,120,562,Nguyễn Văn 47,,27/01/2010,Chuyên tin học (thi Toán),,9,7.5,7.25,,,,,4.5,,984640899,
48,121,2006,Nguyễn Văn 48,,17/05/2010,Chuyên sinh học,,9.75,6,8.5,,,,6.75,,Chuyên Sinh học,984640899,
49,122,1272,Nguyễn Văn 49,,03/02/2010,Chuyên toán học,,9,6.5,8.25,,,,,8,Chuyên Toán học,984640899,
50,123,2211,Nguyễn Văn 50,,02/08/2010,Chuyên vật lý,,8.5,4,7,,,3,,,,984640899,
51,126,2139,Nguyễn Văn 51,,06/11/2010,Chuyên tin học (thi Toán),,9.75,7.5,8.5,,,,,6,Chuyên Tin học (thi Toán),984640899,
52,127,153,Nguyễn Văn 52,Nữ,17/01/2010,Chuyên toán học,Chuyên hóa học,9.75,7.5,7.75,1.25,,,,7,Chuyên Toán học,984640899,
53,128,2170,Nguyễn Văn 53,,04/10/2010,Chuyên hóa học,,8.5,5,7,2,,,,,,984640899,
54,130,1215,Nguyễn Văn 54,,05/12/2010,Chuyên sinh học,,8.75,1.5,5.5,,,,5,,,984640899,
55,131,1994,Nguyễn Văn 55,,12/01/2010,Chuyên hóa học,,10,7.5,8.75,9.5,,,,,Chuyên Hoá học,984640899,
56,132,1722,Nguyễn Văn 56,,21/05/2010,Chuyên vật lý,,10,7,8,,,3,,,,984640899,
57,133,2406,Nguyễn Văn 57,,31/03/2010,Chuyên sinh học,,8.5,3,5,,,,3.75,,,984640899,
58,135,861,Nguyễn Văn 58,,28/04/2010,Chuyên hóa học,,9.75,5,6.75,6.5,,,,,Chuyên Hoá học,984640899,
59,136,1957,Nguyễn Văn 59,,14/08/2010,Chuyên toán học,,8.75,5,7.5,,,,,4.5,,984640899,
60,137,2673,Nguyễn Văn 60,,05/02/2010,Chuyên tin học (thi Toán),,9,6,7,,,,,2,,984640899,
61,138,1182,Nguyễn Văn 61,,15/08/2010,Chuyên tin học (thi Toán),Chuyên vật lý,9,6,8.5,,,0,,2.5,,984640899,
62,139,377,Nguyễn Văn 62,Nữ,22/07/2010,Chuyên hóa học,,8.25,1,8.25,1.25,,,,,,984640899,
63,141,1295,Nguyễn Văn 63,,17/09/2010,Chuyên tin học (thi Toán),,9,5,8.75,,,,,3,,984640899,
64,142,1647,Nguyễn Văn 64,,07/05/2010,Chuyên hóa học,,10,7.5,7.5,9.75,,,,,Chuyên Hoá học,984640899,
65,143,161,Nguyễn Văn 65,,23/09/2010,Chuyên tin học (thi Toán),,9.5,1.5,6,,,,,0,,984640899,
66,144,1160,Nguyễn Văn 66,,21/04/2010,Chuyên tin học (thi Tin),,8,2,7.5,,0,,,,,984640899,
67,145,1781,Nguyễn Văn 67,,02/01/2010,Chuyên tin học (thi Toán),Chuyên vật lý,10,7.5,7.5,,,3.5,,8,Chuyên Tin học (thi Toán),984640899,
68,146,1968,Nguyễn Văn 68,,09/12/2010,Chuyên vật lý,,8.25,1.5,8.5,,,3.25,,,,984640899,
69,147,2677,Nguyễn Văn 69,,15/05/2010,Chuyên tin học (thi Tin),,9.75,6,8.5,,5.75,,,,,984640899,
70,148,2663,Nguyễn Văn 70,,26/04/2010,Chuyên toán học,,9.5,6.5,8,,,,,6,,984640899,
71,150,1104,Nguyễn Văn 71,,05/08/2010,Chuyên toán học,,9,6,7.5,,,,,7,Chuyên Toán học,984640899,
72,152,34,Nguyễn Văn 72,,17/08/2010,Chuyên tin học (thi Toán),,10,6,8.25,,,,,4.5,,984640899,
73,153,1425,Nguyễn Văn 73,Nữ,29/08/2010,Chuyên toán học,,9.75,7,8.25,,,,,4,,984640899,
74,154,664,Nguyễn Văn 74,,12/03/2010,Chuyên toán học,,8.5,5.5,8.25,,,,,2.5,,984640899,
75,155,37,Nguyễn Văn 75,Nữ,13/09/2010,Chuyên hóa học,,10,6,8.25,3.75,,,,,,984640899,
76,156,1019,Nguyễn Văn 76,,20/09/2010,Chuyên toán học,,10,7.5,8.5,,,,,8,Chuyên Toán học,984640899,
77,157,1977,Nguyễn Văn 77,,17/04/2010,Chuyên toán học,,9.5,7.5,8,,,,,7,Chuyên Toán học,984640899,
78,158,1183,Nguyễn Văn 78,,19/02/2010,Chuyên toán học,,9.75,7.5,8,,,,,6,Chuyên Toán học,984640899,
79,159,1741,Nguyễn Văn 79,,27/04/2010,Chuyên vật lý,,9.75,6,8.25,,,4.75,,,,984640899,
80,160,1020,Nguyễn Văn 80,Nữ,30/05/2010,Chuyên sinh học,,9.75,6,8,,,,6.5,,Chuyên Sinh học,984640899,
81,161,2128,Nguyễn Văn 81,,10/03/2010,Chuyên hóa học,,8.25,6,8,9.25,,,,,Chuyên Hoá học,984640899,
82,162,1686,Nguyễn Văn 82,,05/05/2010,Chuyên hóa học,,9.5,6,7,3,,,,,,984640899,
83,163,285,Nguyễn Văn 83,,08/01/2010,Chuyên sinh học,,9.75,5,7.25,,,,5.5,,,984640899,
84,164,1670,Nguyễn Văn 84,,21/09/2010,Chuyên toán học,,9.75,7.5,7.75,,,,,2.5,,984640899,
85,165,2678,Nguyễn Văn 85,,08/09/2010,Chuyên sinh học,,9.5,5,7.75,,,,6.5,,Chuyên Sinh học,984640899,
86,166,2308,Nguyễn Văn 86,,12/08/2010,Chuyên toán học,,9.5,5.5,8.5,,,,,5.25,,984640899,
87,167,1544,Nguyễn Văn 87,,31/08/2010,Chuyên toán học,,9.75,7,7.75,,,,,6,,984640899,
88,168,1948,Nguyễn Văn 88,,14/11/2010,Chuyên toán học,,9.75,7.5,8.5,,,,,6,Chuyên Toán học,984640899,
89,169,476,Nguyễn Văn 89,,26/12/2010,Chuyên tin học (thi Toán),,9.25,6.5,6.75,,,,,2,,984640899,
90,170,411,Nguyễn Văn 90,Nữ,22/08/2010,Chuyên sinh học,,10,6,9,,,,5,,,984640899,
91,171,1989,Nguyễn Văn 91,,26/06/2010,Chuyên hóa học,,9.75,1,7.75,2.25,,,,,,984640899,
92,174,836,Nguyễn Văn 92,Nữ,06/08/2010,Chuyên toán học,,10,6.5,7.5,,,,,6,,984640899,
93,178,47,Nguyễn Văn 93,Nữ,04/05/2010,Chuyên sinh học,,9.25,6,8.5,,,,9.25,,Chuyên Sinh học,984640899,
94,179,532,Nguyễn Văn 94,,17/11/2010,Chuyên hóa học,,9.5,4.5,7.25,3.25,,,,,,984640899,
95,180,801,Nguyễn Văn 95,,10/04/2010,Chuyên tin học (thi Toán),,9.75,6,5.75,,,,,5.5,,984640899,
96,181,1278,Nguyễn Văn 96,,11/11/2010,Chuyên sinh học,,9.75,2,8.5,,,,5,,,984640899,
97,182,1688,Nguyễn Văn 97,,23/02/2010,Chuyên hóa học,,9.5,7.5,8.5,4.5,,,,,,984640899,
98,183,1362,Nguyễn Văn 98,,24/07/2010,Chuyên hóa học,,9.75,6,7.75,9,,,,,Chuyên Hoá học,984640899,
99,184,635,Nguyễn Văn 99,,12/01/2010,Chuyên vật lý,,10,6,8.5,,,4.75,,,,984640899,
100,185,916,Nguyễn Văn 100,,21/04/2010,Chuyên hóa học,,9.25,6,7.5,4.75,,,,,,984640899,
101,186,770,Nguyễn Văn 101,Nữ,12/04/2010,Chuyên hóa học,,8.5,3,8.5,4,,,,,,984640899,
102,187,2645,Nguyễn Văn 102,,03/07/2010,Chuyên tin học (thi Toán),,9.5,1,5,,,,,1,,984640899,
103,188,1325,Nguyễn Văn 103,,08/05/2010,Chuyên vật lý,,10,6,8.75,,,3.5,,,,984640899,
104,189,2147,Nguyễn Văn 104,,17/07/2010,Chuyên tin học (thi Tin),,9.75,7.5,8,,10,,,,Chuyên Tin học (thi Tin),984640899,
105,190,2016,Nguyễn Văn 105,,03/02/2010,Chuyên tin học (thi Toán),,8.75,6.75,7.5,,,,,8,Chuyên Tin học (thi Toán),984640899,
106,191,1441,Nguyễn Văn 106,,10/11/2010,Chuyên hóa học,,9.75,2,7.25,5.25,,,,,,984640899,
107,192,938,Nguyễn Văn 107,,04/12/2010,Chuyên toán học,,8.5,5,7.5,,,,,3,,984640899,
108,193,1617,Nguyễn Văn 108,,28/07/2010,Chuyên tin học (thi Tin),,10,5,5.75,,10,,,,Chuyên Tin học (thi Tin),984640899,
109,194,2399,Nguyễn Văn 109,Nữ,16/06/2010,Chuyên toán học,,9,7.5,8.5,,,,,8,Chuyên Toán học,984640899,
110,195,1156,Nguyễn Văn 110,,09/05/2010,Chuyên hóa học,,10,3.5,8.5,6,,,,,,984640899,
111,196,186,Nguyễn Văn 111,,19/01/2010,Chuyên toán học,,9.75,7.5,8,,,,,8,Chuyên Toán học,984640899,
112,197,490,Nguyễn Văn 112,,02/07/2010,Chuyên hóa học,,9,4,8.25,6.25,,,,,,984640899,
113,198,736,Nguyễn Văn 113,,24/09/2010,Chuyên hóa học,Chuyên toán học,9.25,6.5,8.25,1.25,,,,0.5,,984640899,
114,199,588,Nguyễn Văn 114,,18/09/2010,Chuyên vật lý,,9.25,4.5,6.25,,,6.25,,,Chuyên Vật lý,984640899,
115,200,2031,Nguyễn Văn 115,,11/08/2010,Chuyên toán học,,9.75,6,8.25,,,,,6,,984640899,
116,201,1138,Nguyễn Văn 116,,21/06/2010,Chuyên tin học (thi Toán),,9.75,7.5,8.25,,,,,7,Chuyên Tin học (thi Toán),984640899,
117,203,1595,Nguyễn Văn 117,,01/05/2010,Chuyên sinh học,,10,1.5,7,,,,4.5,,,984640899,
118,204,2484,Nguyễn Văn 118,,02/04/2010,Chuyên sinh học,,9.75,7.5,8.5,,,,7.75,,Chuyên Sinh học,984640899,
119,205,2072,Nguyễn Văn 119,,12/09/2010,Chuyên vật lý,,10,4,8.5,,,5,,,,984640899,
120,206,904,Nguyễn Văn 120,,18/09/2010,Chuyên toán học,,8.5,6,7,,,,,0,,984640899,
121,207,1274,Nguyễn Văn 121,,28/02/2010,Chuyên tin học (thi Toán),Chuyên vật lý,9.25,6,6,,,0,,1,,984640899,
122,208,680,Nguyễn Văn 122,Nữ,07/12/2010,Chuyên hóa học,,9,3.5,8,3.25,,,,,,984640899,
123,209,2260,Nguyễn Văn 123,Nữ,03/07/2010,Chuyên sinh học,,9,6,7.5,,,,4.75,,,984640899,
124,211,11,Nguyễn Văn 124,Nữ,18/10/2010,Chuyên hóa học,,9.75,1.5,9.25,4.25,,,,,,984640899,
125,212,2634,Nguyễn Văn 125,,24/05/2010,Chuyên vật lý,,9.75,4,9,,,8,,,Chuyên Vật lý,984640899,
126,213,1904,Nguyễn Văn 126,,12/11/2010,Chuyên tin học (thi Toán),,9.75,7.25,6.5,,,,,6,,984640899,
127,215,2077,Nguyễn Văn 127,,24/12/2010,Chuyên sinh học,,8,5,5.25,,,,3.5,,,984640899,
128,216,1216,Nguyễn Văn 128,,24/08/2010,Chuyên hóa học,,9.75,7.5,8.5,5.75,,,,,Chuyên Hoá học,984640899,
129,217,2101,Nguyễn Văn 129,,02/06/2010,Chuyên sinh học,,9,4,6.5,,,,7.75,,Chuyên Sinh học,984640899,
130,219,1863,Nguyễn Văn 130,,23/06/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.75,6,7.75,,,7.25,,5.5,Chuyên Vật lý,984640899,
131,220,1205,Nguyễn Văn 131,,26/10/2010,Chuyên hóa học,,10,6,8,3.5,,,,,,984640899,
132,221,987,Nguyễn Văn 132,,20/02/2010,Chuyên vật lý,,10,4.5,7.5,,,7.75,,,Chuyên Vật lý,984640899,
133,222,2666,Nguyễn Văn 133,,25/10/2010,Chuyên toán học,Chuyên hóa học,9.5,7.5,7.5,1.5,,,,6.5,Chuyên Toán học,984640899,
134,224,397,Nguyễn Văn 134,Nữ,31/01/2010,Chuyên toán học,,9.25,8.5,7.5,,,,,7,Chuyên Toán học,984640899,
135,226,1396,Nguyễn Văn 135,,16/10/2010,Chuyên toán học,,9.75,9,8,,,,,9,Chuyên Toán học,984640899,
136,227,62,Nguyễn Văn 136,,16/11/2010,Chuyên tin học (thi Toán),Chuyên vật lý,7.25,6,6,,,6,,7.25,Chuyên Tin học (thi Toán); Chuyên Vật lý,984640899,
137,228,2532,Nguyễn Văn 137,Nữ,30/06/2010,Chuyên sinh học,,9.75,4,6.75,,,,7,,Chuyên Sinh học,984640899,
138,229,2146,Nguyễn Văn 138,,21/05/2010,Chuyên vật lý,,10,6,8.25,,,7.5,,,Chuyên Vật lý,984640899,
139,230,138,Nguyễn Văn 139,Nữ,07/09/2010,Chuyên sinh học,,9.75,6,7.75,,,,6.25,,Chuyên Sinh học,984640899,
140,231,1089,Nguyễn Văn 140,,10/04/2010,Chuyên tin học (thi Toán),Chuyên hóa học,9.75,5.5,6.75,0,,,,2,,984640899,
141,232,2284,Nguyễn Văn 141,,20/12/2010,Chuyên toán học,,9.75,4.5,8.5,,,,,2,,984640899,
142,234,2272,Nguyễn Văn 142,,26/05/2010,Chuyên hóa học,,8.75,6.5,4.5,3.25,,,,,,984640899,
143,235,2073,Nguyễn Văn 143,,21/07/2010,Chuyên hóa học,Chuyên tin học (thi Toán),9.5,7,8.75,7,,,,0,Chuyên Hoá học,984640899,
144,236,1953,Nguyễn Văn 144,,09/01/2010,Chuyên tin học (thi Toán),,8,7.5,8.25,,,,,7.5,Chuyên Tin học (thi Toán),984640899,
145,237,2103,Nguyễn Văn 145,,14/10/2010,Chuyên tin học (thi Toán),,9,7.5,7.5,,,,,5.5,,984640899,
146,238,1871,Nguyễn Văn 146,,11/06/2010,Chuyên tin học (thi Toán),,9.5,4.5,7,,,,,1,,984640899,
147,239,1448,Nguyễn Văn 147,Nữ,01/06/2010,Chuyên toán học,,9,7.5,8.25,,,,,8.25,Chuyên Toán học,984640899,
148,240,956,Nguyễn Văn 148,,22/11/2010,Chuyên tin học (thi Toán),,8.75,6,6.5,,,,,3.5,,984640899,
149,241,965,Nguyễn Văn 149,,22/07/2010,Chuyên toán học,Chuyên vật lý,9.75,7.5,9,,,6.25,,6,Chuyên Toán học; Chuyên Vật lý,984640899,
150,242,1795,Nguyễn Văn 150,,23/02/2010,Chuyên tin học (thi Toán),,10,6.5,8,,,,,5.75,,984640899,
151,243,1546,Nguyễn Văn 151,,14/01/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.25,5,9,,,4,,1.5,,984640899,
152,244,2221,Nguyễn Văn 152,,11/11/2010,Chuyên vật lý,,9.75,6,8.5,,,5,,,,984640899,
153,245,694,Nguyễn Văn 153,,09/07/2010,Chuyên vật lý,,9.25,7.5,6.75,,,7,,,Chuyên Vật lý,984640899,
154,246,423,Nguyễn Văn 154,,12/09/2010,Chuyên toán học,,10,4.5,7.5,,,,,4.5,,984640899,
155,247,666,Nguyễn Văn 155,,17/07/2010,Chuyên sinh học,,9.5,5,8.5,,,,6.75,,Chuyên Sinh học,984640899,
156,248,847,Nguyễn Văn 156,Nữ,04/11/2010,Chuyên sinh học,,9.5,6,8.5,,,,5.5,,Chuyên Sinh học,984640899,
157,249,20,Nguyễn Văn 157,,17/04/2010,Chuyên toán học,Chuyên hóa học,6.25,7.5,5.5,0,,,,7,Chuyên Toán học,984640899,
158,250,1112,Nguyễn Văn 158,,03/07/2010,Chuyên vật lý,,9.75,5,5.5,,,5.75,,,,984640899,
159,251,2307,Nguyễn Văn 159,,23/01/2010,Chuyên vật lý,,9.75,4,7.5,,,3,,,,984640899,
160,252,2591,Nguyễn Văn 160,,18/01/2010,Chuyên vật lý,,10,6,8.5,,,3,,,,984640899,
161,253,1707,Nguyễn Văn 161,,14/10/2010,Chuyên hóa học,Chuyên tin học (thi Toán),10,7.5,8.25,7,,,,0,Chuyên Hoá học,984640899,
162,254,1169,Nguyễn Văn 162,,19/11/2010,Chuyên tin học (thi Toán),,9,5,8,,,,,4.5,,984640899,
163,256,552,Nguyễn Văn 163,,09/06/2010,Chuyên hóa học,,8.75,7.5,8.5,7.75,,,,,Chuyên Hoá học,984640899,
164,259,936,Nguyễn Văn 164,,20/01/2010,Chuyên tin học (thi Toán),,8.5,7.5,6.25,,,,,6,Chuyên Tin học (thi Toán),984640899,
165,260,1152,Nguyễn Văn 165,,25/01/2010,Chuyên tin học (thi Toán),,8.25,0,7.5,,,,,0,,984640899,
166,261,1368,Nguyễn Văn 166,,26/03/2010,Chuyên tin học (thi Toán),,9.75,7.5,7.75,,,,,2,,984640899,
167,262,1674,Nguyễn Văn 167,,05/08/2010,Chuyên toán học,Chuyên hóa học,9.75,5.5,7.75,5,,,,5.5,,984640899,
168,263,1594,Nguyễn Văn 168,,30/06/2010,Chuyên hóa học,,9.25,6.75,7.5,4.25,,,,,,984640899,
169,264,2125,Nguyễn Văn 169,,20/08/2010,Chuyên tin học (thi Tin),,9.75,6,8.25,,7,,,,Chuyên Tin học (thi Tin),984640899,
170,266,1383,Nguyễn Văn 170,,05/05/2010,Chuyên vật lý,,9,5,6.75,,,2.75,,,,984640899,
171,267,373,Nguyễn Văn 171,Nữ,17/12/2010,Chuyên hóa học,,9.75,7.5,8.25,6,,,,,Chuyên Hoá học,984640899,
172,268,2034,Nguyễn Văn 172,,31/12/2010,Chuyên vật lý,,9.75,4,8.25,,,4,,,,984640899,
173,269,721,Nguyễn Văn 173,Nữ,29/08/2010,Chuyên toán học,,9.5,6,9.25,,,,,2.5,,984640899,
174,270,830,Nguyễn Văn 174,,21/02/2010,Chuyên tin học (thi Toán),,9.5,5,7.75,,,,,1,,984640899,
175,271,1452,Nguyễn Văn 175,,07/07/2010,Chuyên sinh học,,10,4,7.25,,,,3.75,,,984640899,
176,272,1744,Nguyễn Văn 176,,04/07/2010,Chuyên vật lý,,10,7.5,8.5,,,7.75,,,Chuyên Vật lý,984640899,
177,274,262,Nguyễn Văn 177,,13/09/2010,Chuyên tin học (thi Tin),,7.5,1.5,5.5,,1.5,,,,,984640899,
178,275,692,Nguyễn Văn 178,,27/11/2010,Chuyên vật lý,,9.75,6,7.75,,,4.5,,,,984640899,
179,276,1751,Nguyễn Văn 179,,05/11/2010,Chuyên vật lý,,9.5,3,8.5,,,4.25,,,,984640899,
180,277,941,Nguyễn Văn 180,,25/12/2010,Chuyên hóa học,Chuyên toán học,9.75,7.5,5.5,9.5,,,,0,Chuyên Hoá học,984640899,
181,278,769,Nguyễn Văn 181,Nữ,26/02/2010,Chuyên sinh học,,9,7.5,8,,,,5.5,,Chuyên Sinh học,984640899,
182,279,1090,Nguyễn Văn 182,,13/09/2010,Chuyên toán học,,9.5,8.5,7,,,,,7,Chuyên Toán học,984640899,
183,280,1445,Nguyễn Văn 183,,23/10/2010,Chuyên hóa học,,10,7.5,7.25,2.25,,,,,,984640899,
184,282,150,Nguyễn Văn 184,Nữ,10/02/2010,Chuyên hóa học,,9.5,7.5,8.75,3.25,,,,,,984640899,
185,283,2553,Nguyễn Văn 185,,13/02/2010,Chuyên tin học (thi Toán),,9.75,8.5,7.5,,,,,8,Chuyên Tin học (thi Toán),984640899,
186,284,697,Nguyễn Văn 186,,19/10/2010,Chuyên vật lý,Chuyên tin học (thi Toán),9.75,7.5,9,,,6.75,,6,Chuyên Vật lý; Chuyên Tin học (thi Toán),984640899,
187,285,1354,Nguyễn Văn 187,,16/04/2010,Chuyên tin học (thi Toán),,8.75,6,7.75,,,,,0,,984640899,
188,286,117,Nguyễn Văn 188,,01/04/2010,Chuyên tin học (thi Toán),,9,6,5.25,,,,,4.5,,984640899,
189,287,822,Nguyễn Văn 189,,04/12/2010,Chuyên sinh học,,9.5,4,6.75,,,,7.75,,Chuyên Sinh học,984640899,
190,288,428,Nguyễn Văn 190,,19/07/2010,Chuyên tin học (thi Toán),,10,6,7.25,,,,,5.5,,984640899,
191,289,2420,Nguyễn Văn 191,Nữ,02/08/2010,Chuyên tin học (thi Tin),,9,5,6.5,,7.5,,,,Chuyên Tin học (thi Tin),984640899,
192,291,982,Nguyễn Văn 192,,06/06/2010,Chuyên tin học (thi Toán),,10,7,5.75,,,,,2.5,,984640899,
193,292,1367,Nguyễn Văn 193,,21/08/2010,Chuyên toán học,,9,7.5,7.5,,,,,7,Chuyên Toán học,984640899,
194,293,2151,Nguyễn Văn 194,Nữ,17/04/2010,Chuyên tin học (thi Toán),,9.75,5,8,,,,,5.5,,984640899,
195,294,2249,Nguyễn Văn 195,,04/01/2010,Chuyên vật lý,,9.75,7.5,7,,,4.75,,,Chuyên Vật lý,984640899,
196,297,2232,Nguyễn Văn 196,,07/05/2010,Chuyên hóa học,,9.25,6.25,7.75,7.75,,,,,Chuyên Hoá học,984640899,
197,299,794,Nguyễn Văn 197,Nữ,13/09/2010,Chuyên sinh học,,9.5,1,8.5,,,,5.75,,,984640899,
198,300,1227,Nguyễn Văn 198,Nữ,18/06/2010,Chuyên sinh học,,9,6.5,8,,,,8.5,,Chuyên Sinh học,984640899,
199,301,1353,Nguyễn Văn 199,,18/01/2010,Chuyên vật lý,,10,5,7.75,,,4,,,,984640899,
200,302,859,Nguyễn Văn 200,Nữ,28/03/2010,Chuyên hóa học,,9.25,4.25,7.5,2.75,,,,,,984640899,
201,304,2022,Nguyễn Văn 201,,16/02/2010,Chuyên tin học (thi Tin),,10,5,7.25,,6.75,,,,,984640899,
